"party","lemma","n","log_odds_weighted"
"ANO","mocus",1,2.97400188785464
"ANO","možný",2,10.6001159783284
"ANO","mrzet",1,3.40279458180551
"ANO","MŠMT",1,3.22563378155205
"ANO","muset",3,21.6940377578913
"ANO","mutace",1,4.94378151663635
"ANO","nahrazení",1,4.52039158191728
"ANO","nakažený",1,4.97026577891915
"ANO","naočkovaný",1,4.7366644479881
"ANO","naočkovat",1,6.51391344916085
"ANO","náprava",1,5.03902581469819
"ANO","například",2,14.1541503910906
"ANO","napsat",1,9.59828845337023
"ANO","náročný",1,5.85424040170164
"ANO","národní",2,12.0943836486908
"ANO","narůst",1,3.94253261274861
"ANO","nárůst",1,5.88894108117117
"ANO","narychlo",1,2.97400188785464
"ANO","nařídit",1,7.65977874097652
"ANO","následovat",1,5.69898721614479
"ANO","natočit",1,3.17548205922772
"ANO","navrhnout",1,9.0999609939494
"ANO","navržený",1,6.04180740662573
"ANO","názor",2,11.0252409010805
"ANO","neděle",1,4.15146617612605
"ANO","nechat",1,10.1917447278102
"ANO","Nekuda",1,2.97400188785464
"ANO","Německo",2,10.1784384339339
"ANO","nemocnice",2,8.28387756508366
"ANO","neustále",1,5.64608321770739
"ANO","News",1,2.97400188785464
"ANO","nízko",1,5.33451160792832
"ANO","noční",1,4.05510548981473
"ANO","nouzový",7,16.0838557119403
"ANO","novela",1,10.5396631924246
"ANO","nový",3,14.6992868594734
"ANO","NR",1,2.97400188785464
"ANO","O",1,3.22563378155205
"ANO","obávat",1,5.03902581469819
"ANO","občan",2,21.8051232655972
"ANO","obcházet",1,4.94378151663635
"ANO","obchodní",2,5.99430372586631
"ANO","oblast",1,7.72013542195221
"ANO","oblíbený",1,3.61827363297673
"ANO","očekávat",1,3.79508273615344
"ANO","očkovací",1,4.55873364496297
"ANO","očkování",9,11.5446110930583
"ANO","očkovaný",1,6.44356476120003
"ANO","očkovat",2,8.90856352645016
"ANO","odpovědně",1,3.80273903909386
"ANO","odpovědnost",1,9.6397631698638
"ANO","ODS",1,13.9526473350035
"ANO","ohrazovat",1,2.97400188785464
"ANO","ohrozit",1,4.32885833848372
"ANO","omezit",1,6.54543538441038
"ANO","onemocnět",1,2.97400188785464
"ANO","opatření",1,16.5104631371072
"ANO","opozice",1,6.19249132891892
"ANO","opoziční",3,5.83586579983462
"ANO","opravdu",1,8.46215929137449
"ANO","organizace",1,9.35176388095913
"ANO","osobní",1,9.0999609939494
"ANO","ostatně",1,5.84100153400823
"ANO","ostatní",1,12.2525887916223
"ANO","otevřený",2,5.01159055479514
"ANO","otevřít",4,7.95929263645935
"ANO","označit",1,5.6197366412966
"ANO","pacient",1,6.70677193482077
"ANO","PaedDr",1,2.97400188785464
"ANO","pak",2,10.2320805798877
"ANO","paluba",1,4.72252648681464
"ANO","pan",2,9.27886453749175
"ANO","pandemie",1,9.38095564889284
"ANO","pár",2,6.22454971575253
"ANO","pevně",2,4.09584363626441
"ANO","PhDr",2,4.20591702891659
"ANO","pin",2,4.20591702891659
"ANO","pirát",1,21.9328482165463
"ANO","písemný",1,4.25997801741684
"ANO","plán",1,8.13317553267316
"ANO","plnit",1,5.41410467956398
"ANO","plus",3,5.62656804232473
"ANO","počkat",2,5.57577081353053
"ANO","podepsaný",1,3.89542307065614
"ANO","podílet",1,4.39553267804589
"ANO","podoba",1,7.38136972882657
"ANO","podpora",1,16.5272683171664
"ANO","pochopení",1,3.24831160591393
"ANO","pochopitelně",1,6.39376557271136
"ANO","politický",1,14.905575044197
"ANO","politikařit",1,4.25997801741684
"ANO","pololetí",2,4.20591702891659
"ANO","Polsko",1,6.86108564950075
"ANO","pomoci",2,10.7285556384822
"ANO","poskytovat",1,4.15146617612605
"ANO","poslanec",4,14.2123070637794
"ANO","poslat",2,4.66486829827852
"ANO","poslední",2,9.65425815164564
"ANO","poslechnout",2,4.51193066506401
"ANO","pouze",1,12.4681311882299
"ANO","považovat",1,7.61341427457284
"ANO","povést",1,5.44441715995923
"ANO","povinnost",2,7.70401981389716
"ANO","povinný",1,8.32555437839209
"ANO","povolený",1,4.05510548981473
"ANO","pozdě",1,6.21030203821326
"ANO","pozdrav",1,2.97400188785464
"ANO","práce",1,13.4248185738231
"ANO","pracovat",1,8.93321713314517
"ANO","pracovní",1,9.4100581998448
"ANO","pracovník",1,7.08436435405329
"ANO","Praha",1,7.72013542195221
"ANO","praktický",1,5.240899593598
"ANO","právo",1,12.7300865950392
"ANO","pravomoc",1,6.15340731731277
"ANO","premiér",2,12.522791561433
"ANO","prezident",1,10.1648458629014
"ANO","Prima",2,9.28657599182138
"ANO","primářka",1,2.97400188785464
"ANO","probíhat",2,8.06127110598981
"ANO","prodloužení",2,11.5435350015691
"ANO","prodloužený",1,3.82300080785591
"ANO","prodloužný",1,3.24831160591393
"ANO","profesní",1,3.80273903909386
"ANO","prohlášení",1,5.20515855797389
"ANO","prosit",2,8.79524037632826
"ANO","průměr",1,4.84862907026241
"ANO","průměrný",2,5.17153113966706
"ANO","přece",1,7.925405384336
"ANO","předmět",2,5.57577081353053
"ANO","předseda",6,10.0256205516347
"ANO","předsedkyně",1,5.34510511231969
"ANO","předsednictvo",1,4.29371188644379
"ANO","představa",1,4.98750857280744
"ANO","přeja",1,2.97400188785464
"ANO","překážka",2,3.84727204861089
"ANO","překonávat",2,4.27818534861517
"ANO","přemýšlet",1,4.84862907026241
"ANO","přesný",1,5.03902581469819
"ANO","přesvědčený",1,6.15340731731277
"ANO","příběh",1,3.89542307065614
"ANO","přibývat",1,3.74039850458066
"ANO","přidat",1,6.15340731731277
"ANO","přijímat",1,4.55873364496297
"ANO","příklad",1,5.91964943662053
"ANO","přikládat",1,3.22563378155205
"ANO","příležitost",1,3.50463539711772
"ANO","přímo",1,8.16666312748266
"ANO","připravit",3,6.62725068037384
"ANO","připravovat",1,5.16936181104449
"ANO","příští",1,7.31688603721453
"ANO","půlnoc",3,5.58717411445798
"ANO","rád",2,8.79524037632826
"ANO","rada",4,10.3938388691446
"ANO","ráno",1,3.23532074922995
"ANO","reakce",1,5.64608321770739
"ANO","registrace",4,5.91316781113829
"ANO","registrovat",5,6.16417864619519
"ANO","rekord",1,2.97400188785464
"ANO","Renata",1,2.97400188785464
"ANO","republika",3,20.3970776442585
"ANO","rezerva",1,4.72392413520552
"ANO","Richard",1,4.52039158191728
"ANO","RNDr",1,2.97400188785464
"ANO","ročník",1,5.75589424734674
"ANO","rok",7,24.1970728150998
"ANO","rouška",1,8.23461516369996
"ANO","rozhodnutí",1,9.1781618534399
"ANO","rozhovor",1,8.406246169884
"ANO","rozsah",1,4.97026577891915
"ANO","rozvolnění",1,4.88327990001125
"ANO","rozvolňovat",1,3.59961285711142
"ANO","rychle",1,5.54339972386019
"ANO","řada",1,9.35176388095913
"ANO","řádně",2,5.61614216797183
"ANO","ředitel",12,13.0157459210566
"ANO","ředitelka",1,4.72252648681464
"ANO","sabotovat",1,2.97400188785464
"ANO","samozřejmě",4,8.61297206803082
"ANO","Sdílat",1,2.97400188785464
"ANO","SDÍLEJTE",1,5.59129459550647
"ANO","sdílet",4,4.82428574732966
"ANO","sdružení",2,5.40690067058412
"ANO","shromažďovací",1,2.97400188785464
"ANO","Schejbalová",1,2.97400188785464
"ANO","signál",1,3.22563378155205
"ANO","síla",1,10.0837261904415
"ANO","silný",1,10.5556071244583
"ANO","situace",1,15.648225764051
"ANO","skončit",1,7.83483861694256
"ANO","sledovat",4,6.54538437048319
"ANO","slíbit",1,3.19096201630255
"ANO","Slovensko",1,7.30015252697539
"ANO","složený",1,4.01815754041532
"ANO","složitý",1,4.98750857280744
"ANO","smírně",1,3.94253261274861
"ANO","SMSka",1,2.97400188785464
"ANO","sněmovna",1,20.6995370395919
"ANO","souhlasit",2,10.4891456886703
"ANO","sousední",1,7.5097787927834
"ANO","SPD",1,46.4958342216212
"ANO","společně",4,8.67598735846245
"ANO","společnost",4,12.1899119544577
"ANO","spolupráce",1,7.13272658518142
"ANO","sport",1,5.3187731335153
"ANO","spousta",2,5.42634318250031
"ANO","správa",1,6.01412797301659
"ANO","správný",2,8.37157386964408
"ANO","srdce",1,4.18324814156743
"ANO","stačit",1,5.34361837616554
"ANO","stále",1,9.46799893655708
"ANO","stan",1,14.3168575683904
"ANO","stanovisko",1,8.01499633672118
"ANO","státník",2,4.27818534861517
"ANO","stav",7,17.8515012403367
"ANO","stavět",1,5.3479966975065
"ANO","stejně",1,9.08488055449168
"ANO","strana",2,23.2125700480232
"ANO","střední",2,6.39088043282771
"ANO","student",4,6.81834953430431
"ANO","studium",1,4.18324814156743
"ANO","Súkla",1,2.97400188785464
"ANO","svátek",1,5.95561755770891
"ANO","šílený",1,6.51391344916085
"ANO","škola",16,14.5248169575637
"ANO","školní",3,5.52786226136028
"ANO","školský",5,6.30548353931342
"ANO","školství",1,6.86434606273611
"ANO","Štix",1,2.97400188785464
"ANO","štych",1,3.22563378155205
"ANO","tady",2,14.5579806081856
"ANO","tak",8,25.3304888355202
"ANO","také",4,20.2652361729343
"ANO","teď",1,9.29310933125159
"ANO","termín",1,5.68046928396978
"ANO","test",1,12.6642127545513
"ANO","tisíc",1,8.73949425152207
"ANO","top",1,12.5706555868236
"ANO","totální",1,6.46478308902288
"ANO","trochu",1,4.29184371220638
